"tourney_id","tourney_name","surface","draw_size","tourney_level","tourney_date","match_num","winner_id","winner_seed","winner_entry","winner_name","winner_hand","winner_ht","winner_ioc","winner_age","winner_rank","winner_rank_points","loser_id","loser_seed","loser_entry","loser_name","loser_hand","loser_ht","loser_ioc","loser_age","loser_rank","loser_rank_points","score","best_of","round","minutes","w_ace","w_df","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced","coach","rod_first_sv_pctg","rod_first_sv_won_pctg","rod_sv_gms_won_pctg","rod_aces","rod_dfs","rod_bpfaced"
"2003-352","Paris Masters","Carpet",48,"M",20031027,46,102450,0,"","Tim Henman","R",185,"GBR",29.13894593,31,1055,104053,2,"","Andy Roddick","R",188,"USA",21.15811088,2,4235,"7-6(4) 7-6(7)",3,"SF",121,5,4,90,59,47,14,12,4,5,10,1,89,51,36,20,12,2,3,"Brad Gilbert",0.57,0.71,0.92,10,1,3
"2003-605","Masters Cup","Hard",8,"F",20031110,4,103819,0,"","Roger Federer","R",185,"SUI",22.25598905,3,3625,104053,0,"","Andy Roddick","R",188,"USA",21.19644079,1,4335,"7-6(2) 6-2",3,"SF",62,12,2,56,31,27,19,10,0,0,5,1,63,46,34,6,10,0,2,"Brad Gilbert",0.73,0.74,0.8,5,1,2
"2003-605","Masters Cup","Hard",8,"F",20031110,11,102783,0,"","Rainer Schuettler","R",180,"GER",27.54277892,6,3005,104053,0,"","Andy Roddick","R",188,"USA",21.19644079,1,4335,"4-6 7-6(4) 7-6(3)",3,"RR",155,2,3,129,83,55,25,17,4,7,12,8,116,61,49,25,17,6,8,"Brad Gilbert",0.53,0.8,0.88,12,8,8
"2004-451","Doha","Hard",32,"A",20040105,17,102035,0,"","Jonas Bjorkman","R",183,"SWE",31.78644764,30,0,104053,1,"","Andy Roddick","R",188,"USA",21.34976044,1,0,"6-3 6-4",3,"R16",70,8,3,55,28,24,17,10,1,1,6,2,59,33,23,13,9,3,5,"Brad Gilbert",0.56,0.7,0.78,6,2,5
"2004-580","Australian Open","Hard",128,"G",20040119,121,103498,0,"","Marat Safin","R",193,"RUS",23.97809719,86,430,104053,1,"","Andy Roddick","R",188,"USA",21.38809035,1,4535,"2-6 6-3 7-5 6-7(0) 6-4",5,"QF",203,19,6,152,82,61,39,25,4,7,18,2,150,95,71,31,26,9,14,"Brad Gilbert",0.63,0.75,0.81,18,2,14
"2004-402","Memphis","Hard",32,"A",20040216,25,102358,0,"","Thomas Enqvist","R",190,"SWE",29.9301848,80,458,104053,1,"","Andy Roddick","R",188,"USA",21.46475017,2,4390,"7-6(8) 6-3",3,"QF",78,9,3,73,42,38,15,11,3,3,17,7,71,42,32,14,10,4,5,"Brad Gilbert",0.59,0.76,0.9,17,7,5
"2004-433","Scottsdale","Hard",32,"A",20040301,29,102434,4,"","Vincent Spadea","R",183,"USA",29.61806982,29,1030,104053,1,"","Andy Roddick","R",188,"USA",21.50308008,3,4335,"6-7(5) 6-3 6-4",3,"SF",123,4,3,105,64,43,26,16,2,4,6,5,95,59,41,15,15,3,7,"Brad Gilbert",0.62,0.69,0.73,6,5,7
"2004-404","Indian Wells Masters","Hard",96,"M",20040308,91,102450,9,"","Tim Henman","R",185,"GBR",29.50308008,10,1700,104053,3,"","Andy Roddick","R",188,"USA",21.52224504,3,4335,"6-7(6) 7-6(1) 6-3",3,"QF",152,6,3,120,74,56,25,17,5,7,12,4,102,60,41,26,16,4,7,"Brad Gilbert",0.59,0.68,0.81,12,4,7
"2004-717","Houston","Clay",32,"A",20040412,31,103163,0,"","Tommy Haas","R",188,"GER",26.02600958,349,90,104053,1,"","Andy Roddick","R",188,"USA",21.61806982,2,4800,"6-3 6-4",3,"F",71,3,3,56,35,28,14,10,3,3,6,1,53,35,21,12,9,2,4,"Brad Gilbert",0.66,0.6,0.78,6,1,4
"2004-416","Rome Masters","Clay",64,"M",20040503,32,103084,0,"","Guillermo Canas","R",185,"ARG",26.4366872,80,504,104053,2,"","Andy Roddick","R",188,"USA",21.67556468,2,4795,"7-6(7) 6-1",3,"R64",82,5,5,78,44,34,19,10,6,7,4,2,57,28,21,16,9,6,9,"Brad Gilbert",0.49,0.75,0.67,4,2,9
