"","winner","opponent_rank","aces","double_faults","surface","first_srv_pctg","minutes"
"329","Andy Roddick",127,11,0,0.8,0.74,85
"330","Andy Roddick",35,8,0,0.8,0.64,82
"331","Andy Roddick",11,13,0,0.8,0.79,62
"332","Andy Roddick",59,3,2,0.64,0.36,51
"333","Andy Roddick",20,2,7,0.64,0.54,114
"334","Andy Roddick",45,5,0,0.64,0.63,75
"335","Andy Roddick",4,19,1,0.76,0.7,149
"336","Andy Roddick",112,17,3,0.76,0.55,100
"337","Andy Roddick",37,15,2,0.8,0.65,162
"338","Andy Roddick",18,14,0,0.8,0.73,160
"339","Andy Roddick",475,17,2,0.76,0.77,118
"340","Andy Roddick",70,12,1,0.76,0.66,92
"341","Andy Roddick",68,19,0,0.76,0.68,82
"342","Andy Roddick",9,10,1,0.76,0.74,60
"343","Andy Roddick",65,12,0,0.8,0.7,66
"344","Andy Roddick",117,22,1,0.8,0.75,110
"345","Andy Roddick",110,10,3,0.8,0.62,91
"346","Andy Roddick",26,10,1,0.8,0.69,71
"347","Andy Roddick",106,24,1,0.8,0.66,137
"348","Andy Roddick",191,8,0,0.76,0.52,63
"349","Andy Roddick",80,6,0,0.76,0.53,66
"350","Andy Roddick",38,16,1,0.76,0.59,127
"351","Andy Roddick",131,18,1,0.76,0.61,61
"352","Andy Roddick",63,23,2,0.76,0.69,111
"353","Andy Roddick",38,16,0,0.76,0.7,85
"354","Andy Roddick",41,12,1,0.76,0.59,97
"355","Andy Roddick",416,14,1,0.76,0.62,81
"356","Andy Roddick",71,9,2,0.64,0.64,94
"357","Andy Roddick",47,10,1,0.76,0.67,90
"358","Andy Roddick",19,6,1,0.76,0.59,70
"359","Andy Roddick",35,13,1,0.76,0.6,77
"360","Andy Roddick",94,13,1,0.76,0.75,50
"361","Andy Roddick",92,11,1,0.76,0.57,73
"362","Andy Roddick",64,19,5,0.76,0.73,121
"363","Andy Roddick",155,16,1,0.8,0.74,126
"364","Andy Roddick",114,15,2,0.8,0.7,104
"365","Andy Roddick",41,12,1,0.8,0.66,113
"366","Andy Roddick",39,19,0,0.8,0.73,110
"367","Andy Roddick",99,2,0,0.64,0.68,80
"368","Andy Roddick",81,6,2,0.64,0.69,66
"369","Andy Roddick",88,9,3,0.76,0.6,78
"370","Andy Roddick",45,14,0,0.76,0.6,86
"371","Andy Roddick",90,18,3,0.76,0.68,94
"372","Andy Roddick",13,15,1,0.76,0.69,92
"373","Andy Roddick",212,13,2,0.76,0.72,164
"374","Andy Roddick",54,18,2,0.76,0.67,116
"375","Andy Roddick",27,14,2,0.76,0.65,192
"376","Andy Roddick",10,16,1,0.76,0.69,183
"377","Andy Roddick",42,10,2,0.76,0.62,87
"378","Andy Roddick",92,15,1,0.76,0.66,79
"379","Andy Roddick",35,18,1,0.76,0.61,149
"380","Andy Roddick",16,15,0,0.76,0.69,74
"381","Andy Roddick",8,8,1,0.76,0.63,127
"382","Andy Roddick",62,7,3,0.76,0.76,61
"383","Andy Roddick",38,8,2,0.76,0.58,71
"384","Andy Roddick",14,7,2,0.76,0.55,87
"385","Andy Roddick",4,9,4,0.76,0.62,131
"386","Andy Roddick",7,4,0,0.76,0.65,66
"387","Andy Roddick",160,28,3,0.64,0.7,132
"388","Andy Roddick",12,14,2,0.64,0.63,146
"389","Andy Roddick",35,12,0,0.76,0.66,128
"390","Andy Roddick",162,30,1,0.71,0.75,114
"391","Andy Roddick",55,16,1,0.71,0.68,122
"392","Andy Roddick",34,25,4,0.76,0.67,113
"393","Andy Roddick",92,18,3,0.71,0.71,78
"394","Andy Roddick",57,26,0,0.71,0.8,98
"395","Andy Roddick",19,13,1,0.76,0.71,69
"396","Andy Roddick",60,15,3,0.8,0.67,135
"397","Andy Roddick",178,8,4,0.76,0.66,73
"398","Andy Roddick",49,6,0,0.76,0.7,66
"399","Andy Roddick",89,6,0,0.76,0.7,62
"400","Andy Roddick",95,18,2,0.76,0.68,110
"401","Andy Roddick",87,9,3,0.76,0.71,100
"402","Andy Roddick",131,7,1,0.76,0.72,64
